Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT5G52760,Up,3.25E-22, AT5G52760,Copper transport protein family 
AT1G17180,Up,3.38E-22, GSTU25,Glutathione S-transferase TAU 25 
AT5G20230,Up,3.42E-22, BCB,Blue-copper-binding protein 
AT3G48450,Up,3.58E-22, AT3G48450,RPM1-interacting protein 4 (RIN4) family protein 
AT1G76040,Up,4.51E-22, CPK29,Calcium-dependent protein kinase 29 
AT4G39230,Up,5.19E-22, AT4G39230,NmrA-like negative transcriptional regulator family protein 
AT2G38240,Up,6.17E-22, AT2G38240,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT1G56250,Up,6.94E-22, PP2-B14,Phloem protein 2-B14 
AT3G08590,Up,7.49E-22, iPGAM2,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent "
AT5G40780,Up,1.02E-21, LHT1,Lysine histidine transporter 1 
AT4G15130,Up,1.15E-21, ,nontranslating CDS
AT1G72070,Up,1.17E-21, AT1G72070,Chaperone DnaJ-domain superfamily protein 
AT4G00300,Up,1.32E-21, AT4G00300,Receptor-like kinase 
AT1G43160,Up,1.57E-21, RAP2.6,Uncharacterized protein 
AT1G56240,Up,1.59E-21, PP2-B13,Phloem protein 2-B13 
AT1G61890,Up,1.64E-21, AT1G61890,MATE efflux family protein 
AT1G74100,Up,1.85E-21, SOT16,Sulfotransferase 16 
AT4G16760,Up,3.09E-21, ACX1,Acyl-CoA oxidase 1 
AT3G12740,Up,3.25E-21, ALIS1,ALA-interacting subunit 1 
AT4G27585,Up,3.74E-21, AT4G27585,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT1G19250,Up,4.82E-21, FMO1,Flavin-dependent monooxygenase 1 
AT3G21780,Up,4.88E-21, UGT71B6,UDP-glucosyl transferase 71B6 
AT1G69790,Up,4.95E-21, AT1G69790,Protein kinase superfamily protein 
AT1G61560,Up,6.84E-21, MLO6,Seven transmembrane MLO family protein 
AT4G39670,Up,7.83E-21, AT4G39670,Glycolipid transfer protein (GLTP) family protein 
AT2G35935,Up,8.50E-21, AT2G35935,Uncharacterized protein 
AT1G76680,Up,1.15E-20, OPR1,12-oxophytodienoate reductase 1 
AT4G37290,Up,1.20E-20, AT4G37290,Uncharacterized protein 
AT4G17260,Up,1.33E-20, AT4G17260,Lactate/malate dehydrogenase family protein 
AT4G34200,Up,1.40E-20, EDA9,D-3-phosphoglycerate dehydrogenase 
AT1G73065,Up,1.46E-20, AT1G73065,Uncharacterized protein 
AT3G50760,Up,1.52E-20, GATL2,Galacturonosyltransferase-like 2 
AT1G26380,Up,1.66E-20, AT1G26380,FAD-binding Berberine family protein 
AT1G23550,Up,1.82E-20, SRO2,Uncharacterized protein 
AT3G57460,Up,2.07E-20, AT3G57460,Catalytic/ metal ion binding / metalloendopeptidase/ zinc ion binding protein 
AT1G25550,Up,2.08E-20, AT1G25550,Myb-like transcription factor family protein 
AT2G20800,Up,2.28E-20, NDB4,NAD(P)H dehydrogenase B4 
AT3G29000,Up,2.39E-20, AT3G29000,Calcium-binding EF-hand family protein 
AT1G17745,Up,2.40E-20, PGDH,D-3-phosphoglycerate dehydrogenase 
AT1G61640,Up,3.26E-20, AT1G61640,Protein kinase superfamily protein 
AT3G52400,Up,4.52E-20, SYP122,Syntaxin of plants 122 
AT3G59350,Up,4.79E-20, AT3G59350,Protein kinase superfamily protein 
AT3G05200,Up,4.91E-20, ATL6,RING/U-box superfamily protein 
AT2G45760,Up,5.16E-20, BAP2,BON association protein 2 
AT5G15090,Up,5.41E-20, VDAC3,Voltage dependent anion channel 3 
AT1G31130,Up,5.49E-20, AT1G31130,Polyadenylate-binding protein 1-B-binding protein 
AT5G24760,Up,5.93E-20, AT5G24760,GroES-like zinc-binding dehydrogenase family protein 
AT5G52750,Up,7.00E-20, AT5G52750,Heavy metal transport/detoxification superfamily protein 
AT2G05100,Up,7.99E-20, LHCB2.1,Photosystem II light harvesting complex protein 2.1 
AT3G01830,Up,8.31E-20, AT3G01830,Calcium-binding EF-hand family protein 
AT1G31290,Up,8.96E-20, AGO3,ARGONAUTE 3 
AT1G51890,Up,9.07E-20, AT1G51890,Leucine-rich repeat protein kinase family protein 
AT3G53810,Up,9.55E-20, AT3G53810,Concanavalin A-like lectin protein kinase family protein 
AT5G06320,Up,1.05E-19, NHL3,NDR1/HIN1-like 3 
AT4G23810,Up,1.05E-19, WRKY53,WRKY family transcription factor 
AT1G76470,Up,1.09E-19, AT1G76470,NAD(P)-binding Rossmann-fold superfamily protein 
AT5G57500,Up,1.14E-19, AT5G57500,Galactosyltransferase family protein 
AT2G38250,Up,1.27E-19, AT2G38250,Homeodomain-like superfamily protein 
AT1G33030,Up,1.38E-19, AT1G33030,O-methyltransferase family protein 
AT2G40000,Up,1.54E-19, HSPRO2,Ortholog of sugar beet HS1 PRO-1 2 
AT2G02930,Up,1.71E-19, GSTF3,Glutathione S-transferase F3 
AT5G37490,Up,1.95E-19, AT5G37490,ARM repeat superfamily protein 
AT1G72060,Up,2.34E-19, AT1G72060,Serine-type endopeptidase inhibitor 
AT1G28480,Up,2.51E-19, GRX480,Thioredoxin superfamily protein 
AT4G22570,Down,2.71E-19, APT3,Adenine phosphoribosyl transferase 3 
AT4G11850,Up,2.90E-19, PLDGAMMA1,Phospholipase D gamma 1 
AT5G42680,Down,3.02E-19, AT5G42680,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617) "
AT2G29720,Up,3.92E-19, CTF2B,FAD/NAD(P)-binding oxidoreductase family protein 
AT4G27410,Up,4.52E-19, RD26,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein 
AT2G27310,Up,4.94E-19, AT2G27310,F-box family protein 
AT3G56410,Up,5.81E-19, AT3G56410,
AT4G39950,Up,8.71E-19, CYP79B2,"Cytochrome P450, family 79, subfamily B, polypeptide 2 "
AT5G17990,Up,9.43E-19, TRP1,Tryptophan biosynthesis 1 
AT1G60730,Up,1.23E-18, AT1G60730,NAD(P)-linked oxidoreductase superfamily protein 
AT2G06050,Up,1.27E-18, OPR3,Oxophytodienoate-reductase 3 
AT5G55150,Up,1.54E-18, AT5G55150,F-box SKIP23-like protein (DUF295) 
AT5G63370,Up,1.65E-18, AT5G63370,Protein kinase superfamily protein 
AT1G68390,Up,1.90E-18, AT1G68390,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein "
AT5G02780,Up,1.93E-18, GSTL1,Glutathione transferase lambda 1 
AT3G50480,Up,2.04E-18, HR4,Homolog of RPW8 4 
AT1G61800,Up,2.12E-18, GPT2,Glucose-6-phosphate/phosphate translocator 2 
AT3G19580,Up,2.21E-18, ZF2,Zinc-finger protein 2 
AT4G18253,Up,2.31E-18, AT4G18253,Receptor Serine/Threonine kinase-like protein 
AT5G57035,Up,2.37E-18, AT5G57035,U-box domain-containing protein kinase family protein 
AT5G53050,Up,2.38E-18, AT5G53050,Alpha/beta-Hydrolases superfamily protein 
AT4G35800,Up,2.42E-18, NRPB1,RNA polymerase II large subunit 
AT3G05360,Up,2.88E-18, RLP30,Receptor like protein 30 
AT5G22540,Up,3.10E-18, AT5G22540,"Transmembrane protein, putative (DUF247) "
AT2G41410,Up,3.22E-18, AT2G41410,Calcium-binding EF-hand family protein 
AT4G33430,Up,3.60E-18, BAK1,BRI1-associated receptor kinase 
AT1G33110,Up,3.86E-18, AT1G33110,MATE efflux family protein 
AT1G80300,Up,3.99E-18, NTT1,Nucleotide transporter 1 
AT5G03390,Up,4.22E-18, AT5G03390,
AT5G52310,Up,4.22E-18, LTI78,Low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A) 
AT1G51660,Up,4.22E-18, MKK4,Mitogen-activated protein kinase kinase 4 
AT2G17220,Up,4.29E-18, Kin3,Protein kinase superfamily protein 
AT1G03220,Up,4.32E-18, AT1G03220,Eukaryotic aspartyl protease family protein 
AT5G36907,Up,4.63E-18, AT5G36907,Uncharacterized protein 
AT5G01950,Up,4.96E-18, AT5G01950,Leucine-rich repeat protein kinase family protein 
AT5G67080,Up,5.81E-18, MAPKKK19,Mitogen-activated protein kinase kinase kinase 19 
AT1G70530,Up,5.94E-18, CRK3,Cysteine-rich RLK (RECEPTOR-like protein kinase) 3 
AT4G23210,Up,6.75E-18, CRK13,Cysteine-rich RLK (RECEPTOR-like protein kinase) 13 
AT2G14290,Up,7.87E-18, AT2G14290,LL-diaminopimelate protein (DUF295) 
AT1G30420,Up,8.59E-18, ABCC11,Multidrug resistance-associated protein 12 
AT2G04070,Up,9.07E-18, AT2G04070,MATE efflux family protein 
AT5G10625,Up,9.83E-18, AT5G10625,Flowering-promoting factor-like protein 
AT5G54270,Up,1.15E-17, LHCB3,Light-harvesting chlorophyll B-binding protein 3 
AT3G13090,Up,1.28E-17, ABCC6,Multidrug resistance-associated protein 8 
AT1G22770,Up,1.34E-17, GI,Gigantea protein (GI) 
AT1G14540,Up,1.39E-17, PER4,Peroxidase superfamily protein 
AT4G35630,Up,1.72E-17, PSAT,Phosphoserine aminotransferase 
AT4G19460,Up,1.85E-17, AT4G19460,UDP-Glycosyltransferase superfamily protein 
AT1G11050,Up,1.87E-17, AT1G11050,Protein kinase superfamily protein 
AT5G39670,Up,1.96E-17, AT5G39670,Calcium-binding EF-hand family protein 
AT1G53160,Down,1.98E-17, SPL4,Squamosa promoter binding protein-like 4 
AT5G13320,Up,2.11E-17, PBS3,Auxin-responsive GH3 family protein 
AT2G01450,Up,2.13E-17, MPK17,MAP kinase 17 
AT5G43650,Up,2.38E-17, BHLH92,Basic helix-loop-helix (bHLH) DNA-binding superfamily protein 
AT5G66210,Up,2.65E-17, CPK28,Calcium-dependent protein kinase 28 
AT5G13200,Up,3.37E-17, AT5G13200,GRAM domain family protein 
AT4G26120,Up,4.91E-17, AT4G26120,Ankyrin repeat family protein / BTB/POZ domain-containing protein 
AT5G49760,Up,5.78E-17, AT5G49760,Leucine-rich repeat protein kinase family protein 
AT2G42540,Up,7.43E-17, COR15A,Cold-regulated 15a 
AT2G45300,Up,8.86E-17, AT2G45300,"RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta "
AT2G37430,Up,9.42E-17, ZAT11,C2H2 and C2HC zinc fingers superfamily protein 
AT3G13380,Up,1.01E-16, BRL3,BRI1-like 3 
AT3G62260,Up,1.03E-16, AT3G62260,Protein phosphatase 2C family protein 
AT1G68340,Up,1.07E-16, AT1G68340,
AT5G57710,Up,1.19E-16, AT5G57710,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein 
AT1G08930,Up,1.30E-16, ERD6,Major facilitator superfamily protein 
AT5G38430,Down,1.34E-16, RBCS1B,Ribulose bisphosphate carboxylase (small chain) family protein 
AT3G55620,Up,1.34E-16, eIF6A,Translation initiation factor IF6 
AT1G18390,Up,1.36E-16, AT1G18390,Serine/Threonine kinase family catalytic domain protein 
AT4G18170,Up,1.43E-16, WRKY28,WRKY DNA-binding protein 28 
AT1G61610,Up,1.51E-16, AT1G61610,S-locus lectin protein kinase family protein 
AT4G31860,Up,1.56E-16, AT4G31860,Protein phosphatase 2C family protein 
AT5G51465,Up,1.68E-16, AT5G51465,Uncharacterized protein 
AT2G47520,Up,1.79E-16, ERF71,Integrase-type DNA-binding superfamily protein 
AT1G27760,Up,2.19E-16, SAT32,Interferon-related developmental regulator family protein / IFRD protein family 
AT2G22300,Up,2.20E-16, SR1,Signal responsive 1 
AT4G06746,Up,2.28E-16, RAP2.9,Uncharacterized protein 
AT3G48740,Down,2.38E-16, SWEET11,Nodulin MtN3 family protein 
AT1G07240,Up,2.45E-16, UGT71C5,UDP-glucosyl transferase 71C5 
AT3G22231,Up,2.50E-16, PCC1,Pathogen and circadian controlled 1 
AT5G56980,Up,2.50E-16, AT5G56980,Cotton fiber protein 
AT3G10930,Up,2.62E-16, AT3G10930,Uncharacterized protein 
AT1G67800,Up,2.82E-16, AT1G67800,Copine (Calcium-dependent phospholipid-binding protein) family 
AT5G25910,Up,2.84E-16, RLP52,Receptor like protein 52 
AT1G72940,Up,3.04E-16, AT1G72940,Toll-Interleukin-Resistance (TIR) domain-containing protein 
AT5G40000,Up,3.30E-16, AT5G40000,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT1G10140,Up,3.45E-16, AT1G10140,Uncharacterized conserved protein UCP031279 
AT2G35980,Up,3.51E-16, YLS9,Late embryosis abundant (LEA) hydroxyproline-rich glycoprotein family 
AT2G43620,Up,3.54E-16, AT2G43620,Chitinase family protein 
AT1G47890,Up,3.71E-16, RLP7,Receptor like protein 7 
AT5G59680,Up,4.17E-16, AT5G59680,Leucine-rich repeat protein kinase family protein 
AT5G66650,Up,4.36E-16, AT5G66650,Calcium uniporter (DUF607) 
AT5G60800,Up,4.40E-16, AT5G60800,Heavy metal transport/detoxification superfamily protein 
AT5G40690,Up,4.67E-16, AT5G40690,Histone-lysine N-methyltransferase trithorax-like protein 
AT2G19710,Up,5.07E-16, AT2G19710,Regulator of Vps4 activity in the MVB pathway protein 
AT2G20960,Up,5.16E-16, pEARLI4,Phospholipase-like protein (PEARLI 4) family protein 
AT1G69920,Up,5.18E-16, GSTU12,Glutathione S-transferase TAU 12 
AT3G46690,Up,5.51E-16, AT3G46690,UDP-Glycosyltransferase superfamily protein 
AT5G57220,Up,5.92E-16, CYP81F2,"Cytochrome P450, family 81, subfamily F, polypeptide 2 "
AT1G70520,Up,5.95E-16, CRK2,Cysteine-rich RLK (RECEPTOR-like protein kinase) 2 
AT4G37120,Up,6.28E-16, SMP2,Pre-mRNA splicing Prp18-interacting factor 
AT1G16670,Up,6.44E-16, AT1G16670,Protein kinase superfamily protein 
AT5G19440,Up,6.81E-16, AT5G19440,NAD(P)-binding Rossmann-fold superfamily protein 
AT3G49110,Up,6.86E-16, PRXCA,Peroxidase CA 
AT2G41630,Up,7.74E-16, TFIIB,Transcription factor IIB 
AT2G23680,Up,7.94E-16, AT2G23680,Cold acclimation protein WCOR413 family 
AT2G24600,Up,1.03E-15, AT2G24600,Ankyrin repeat family protein 
AT1G72900,Up,1.07E-15, AT1G72900,Toll-Interleukin-Resistance (TIR) domain-containing protein 
AT3G28340,Up,1.13E-15, GATL10,Galacturonosyltransferase-like 10 
AT1G05010,Up,1.14E-15, EFE,Ethylene-forming enzyme 
AT5G26170,Up,1.15E-15, WRKY50,WRKY DNA-binding protein 50 
AT1G31930,Up,1.20E-15, XLG3,Extra-large GTP-binding protein 3 
AT5G12010,Up,1.33E-15, AT5G12010,Nuclease 
AT1G34370,Up,1.37E-15, STOP1,C2H2 and C2HC zinc fingers superfamily protein 
AT3G25760,Up,1.44E-15, AOC1,Allene oxide cyclase 1 
AT2G29470,Up,1.61E-15, GSTU3,Glutathione S-transferase tau 3 
AT4G12790,Up,1.63E-15, AT4G12790,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT2G36790,Up,1.65E-15, UGT73C6,UDP-glucosyl transferase 73C6 
AT5G36925,Up,1.69E-15, AT5G36925,Uncharacterized protein 
AT1G25400,Up,1.76E-15, AT1G25400,Uncharacterized protein 
AT2G18680,Up,1.89E-15, AT2G18680,Uncharacterized protein 
AT3G12580,Up,1.92E-15, HSP70,Heat shock protein 70 
AT1G30370,Up,2.14E-15, DLAH,Alpha/beta-Hydrolases superfamily protein 
AT4G09570,Up,2.20E-15, CPK4,Calcium-dependent protein kinase 4 
AT5G25920,Up,2.55E-15, AT5G25920,Uncharacterized protein 
AT4G03320,Up,2.67E-15, Tic20-IV,Translocon at the inner envelope membrane of chloroplasts 20-IV 
AT2G22880,Up,2.86E-15, AT2G22880,VQ motif-containing protein 
AT5G24640,Up,3.09E-15, AT5G24640,Uncharacterized protein 
AT4G31800,Up,3.10E-15, WRKY18,WRKY DNA-binding protein 18 
AT1G28370,Up,3.87E-15, ERF11,ERF domain protein 11 
AT4G34180,Up,3.92E-15, AT4G34180,Cyclase family protein 
AT4G37380,Up,4.00E-15, AT4G37380,Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G05670,Up,4.30E-15, AT1G05670,Pentatricopeptide repeat (PPR-like) superfamily protein 
AT5G45110,Up,4.60E-15, NPR3,NPR1-like protein 3 
AT1G30620,Up,4.97E-15, MUR4,NAD(P)-binding Rossmann-fold superfamily protein 
AT1G25220,Up,5.16E-15, ASB1,Anthranilate synthase beta subunit 1 
AT5G57510,Up,5.29E-15, AT5G57510,Cotton fiber protein 
AT2G40270,Up,5.33E-15, AT2G40270,Protein kinase family protein 
AT4G16500,Up,5.33E-15, AT4G16500,Cystatin/monellin superfamily protein 
AT1G35230,Up,5.40E-15, AGP5,Arabinogalactan protein 5 
AT1G14640,Up,5.90E-15, AT1G14640,SWAP (Suppressor-of-White-APricot)/surp domain-containing protein 
AT3G15210,Up,6.11E-15, ERF4,Ethylene responsive element binding factor 4 
AT1G26420,Up,6.17E-15, AT1G26420,FAD-binding Berberine family protein 
AT4G29950,Up,7.25E-15, AT4G29950,Ypt/Rab-GAP domain of gyp1p superfamily protein 
AT3G08710,Up,7.46E-15, TH9,Thioredoxin H-type 9 
AT1G18890,Up,7.71E-15, CDPK1,Calcium-dependent protein kinase 1 
AT3G52430,Up,7.83E-15, PAD4,Alpha/beta-Hydrolases superfamily protein 
AT5G44680,Down,8.11E-15, AT5G44680,DNA glycosylase superfamily protein 
AT5G22060,Up,8.15E-15, J2,DNAJ homologue 2 
AT4G35485,Up,8.35E-15, AT4G35485,Uncharacterized protein 
AT2G31955,Up,9.05E-15, CNX2,Cofactor of nitrate reductase and xanthine dehydrogenase 2 
AT3G17410,Up,9.31E-15, AT3G17410,Protein kinase superfamily protein 
AT3G16330,Up,9.68E-15, AT3G16330,Avr9/Cf-9 rapidly elicited protein 
AT4G11890,Up,1.03E-14, ARCK1,Protein kinase superfamily protein 
AT1G67865,Up,1.09E-14, AT1G67865,Uncharacterized protein 
AT2G32190,Up,1.12E-14, AT2G32190,Cysteine-rich/transmembrane domain A-like protein 
AT1G68765,Up,1.29E-14, IDA,Putative membrane lipoprotein 
AT2G03820,Up,1.38E-14, NMD3,Nonsense-mediated mRNA decay NMD3 family protein 
AT5G03350,Up,1.59E-14, AT5G03350,Legume lectin family protein 
AT4G21850,Up,1.60E-14, MSRB9,Methionine sulfoxide reductase B9 
AT1G30135,Up,1.61E-14, JAZ8,Jasmonate-zim-domain protein 8 
AT1G64290,Up,1.64E-14, AT1G64290,F-box protein-like protein 
AT1G05990,Up,1.70E-14, AT1G05990,EF hand calcium-binding protein family 
AT1G72450,Up,1.73E-14, JAZ6,Jasmonate-zim-domain protein 6 
AT3G26850,Up,1.75E-14, AT3G26850,Histone-lysine N-methyltransferase 
AT1G57560,Up,2.01E-14, MYB50,Myb domain protein 50 
AT3G22275,Up,2.03E-14, AT3G22275,Jasmonate ZIM-domain protein 
AT3G61630,Up,2.13E-14, CRF6,
AT5G62480,Up,2.36E-14, GSTU9,Glutathione S-transferase tau 9 
AT1G29290,Up,2.54E-14, AT1G29290,B-cell lymphoma 6 protein 
AT2G41835,Up,2.56E-14, AT2G41835,"Zinc finger (C2H2 type, AN1-like) family protein "
AT1G21110,Up,2.62E-14, IGMT3,O-methyltransferase family protein 
AT1G71520,Up,2.96E-14, AT1G71520,Integrase-type DNA-binding superfamily protein 
AT4G35180,Up,3.10E-14, LHT7,LYS/HIS transporter 7 
AT2G41380,Up,3.37E-14, AT2G41380,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT5G40990,Up,3.79E-14, GLIP1,GDSL lipase 1 
AT3G57630,Up,4.23E-14, AT3G57630,Exostosin family protein 
AT3G11840,Up,4.25E-14, PUB24,E3 ubiquitin-protein ligase PUB24-like protein 
AT1G22180,Up,4.29E-14, AT1G22180,Sec14p-like phosphatidylinositol transfer family protein 
AT4G34150,Up,5.09E-14, AT4G34150,Calcium-dependent lipid-binding (CaLB domain) family protein 
AT1G52890,Up,5.42E-14, NAC019,NAC domain containing protein 19 
AT1G78410,Up,5.56E-14, AT1G78410,VQ motif-containing protein 
AT4G30350,Up,6.24E-14, AT4G30350,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein 
AT1G13480,Up,6.25E-14, AT1G13480,
AT4G38550,Up,6.49E-14, AT4G38550,Phospholipase-like protein (PEARLI 4) family protein 
AT2G38860,Up,6.93E-14, YLS5,Class I glutamine amidotransferase-like superfamily protein 
AT1G05575,Up,7.60E-14, AT1G05575,Uncharacterized protein 
AT2G46510,Up,8.32E-14, AIB,ABA-inducible BHLH-type transcription factor 
AT2G35480,Up,8.77E-14, AT2G35480,Envelope glycoprotein 
AT3G13950,Up,8.87E-14, AT3G13950,Ankyrin 
AT3G29185,Down,9.33E-14, AT3G29185,"Glutamate NMDA receptor subunit epsilon-1, putative (DUF3598) "
AT5G63530,Down,1.05E-13, FP3,Farnesylated protein 3 
AT1G15415,Up,1.11E-13, AT1G15415,Late embryosis abundant-like protein 
AT5G18480,Up,1.12E-13, PGSIP6,Plant glycogenin-like starch initiation protein 6 
AT4G39250,Down,1.17E-13, RL1,RAD-like 1 
AT5G48400,Up,1.35E-13, ATGLR1.2,Glutamate receptor family protein 
AT5G43420,Up,1.37E-13, AT5G43420,RING/U-box superfamily protein 
AT5G02490,Up,1.50E-13, Hsp70-2,Heat shock protein 70 (Hsp 70) family protein 
AT1G52200,Up,1.69E-13, AT1G52200,PLAC8 family protein 
AT5G56960,Up,1.69E-13, AT5G56960,Basic helix-loop-helix (bHLH) DNA-binding family protein 
AT2G22250,Up,1.75E-13, AAT,Aspartate aminotransferase 
AT1G55920,Up,2.15E-13, SERAT2;1,Serine acetyltransferase 2;1 
AT2G17120,Up,2.21E-13, LYM2,Lysm domain GPI-anchored protein 2 
AT1G67470,Up,2.24E-13, AT1G67470,Protein kinase superfamily protein 
AT1G21310,Up,2.28E-13, EXT3,Extensin 3 
AT1G62310,Up,2.31E-13, AT1G62310,Transcription factor jumonji (jmjC) domain-containing protein 
AT1G70140,Up,2.32E-13, FH8,Formin 8 
AT1G63720,Up,2.34E-13, AT1G63720,Hydroxyproline-rich glycoprotein family protein 
AT1G56220,Down,2.40E-13, AT1G56220,Dormancy/auxin associated family protein 
AT1G61120,Up,2.46E-13, TPS04,Terpene synthase 04 
AT1G32450,Down,2.47E-13, NRT1.5,Nitrate transporter 1.5 
AT4G34230,Up,2.56E-13, CAD5,Cinnamyl alcohol dehydrogenase 5 
AT2G39210,Up,2.66E-13, AT2G39210,Major facilitator superfamily protein 
AT5G40170,Up,2.66E-13, RLP54,Receptor like protein 54 
AT2G38465,Up,2.68E-13, AT2G38465,Uncharacterized protein 
AT5G17380,Up,2.86E-13, AT5G17380,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein 
AT3G27690,Up,2.98E-13, LHCB2.3,Photosystem II light harvesting complex protein 2.3 
AT1G73805,Up,3.26E-13, SARD1,Calmodulin binding protein-like protein 
AT1G61140,Up,3.27E-13, EDA16,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein 
AT5G55200,Up,3.32E-13, MGE1,Co-chaperone GrpE family protein 
AT3G26910,Up,3.54E-13, AT3G26910,Hydroxyproline-rich glycoprotein family protein 
AT5G65140,Up,3.69E-13, TPPJ,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein 
AT1G68520,Down,4.01E-13, BBX14,B-box type zinc finger protein with CCT domain-containing protein 
AT2G46620,Up,4.03E-13, AT2G46620,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT4G08500,Up,4.11E-13, MEKK1,MAPK/ERK kinase kinase 1 
AT4G15670,Down,4.24E-13, AT4G15670,Thioredoxin superfamily protein 
AT2G46600,Up,4.25E-13, AT2G46600,Calcium-binding EF-hand family protein 
AT4G23250,Up,4.54E-13, EMB1290,Cysteine-rich receptor-like protein kinase 17 
AT1G30757,Up,4.91E-13, AT1G30757,Uncharacterized protein 
AT3G44830,Up,4.92E-13, AT3G44830,Lecithin:cholesterol acyltransferase family protein 
AT3G56880,Up,5.86E-13, AT3G56880,VQ motif-containing protein 
AT2G34650,Up,6.21E-13, PID,Protein kinase superfamily protein 
AT3G25573,Up,6.99E-13, AT3G25573,Uncharacterized protein 
AT4G32070,Up,7.10E-13, Phox4,Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein 
AT3G46090,Up,7.42E-13, ZAT7,C2H2 and C2HC zinc fingers superfamily protein 
AT5G17650,Up,7.79E-13, AT5G17650,Glycine/proline-rich protein 
AT1G22280,Up,7.94E-13, PAPP2C,Phytochrome-associated protein phosphatase type 2C 
AT3G09830,Up,7.94E-13, AT3G09830,Protein kinase superfamily protein 
AT5G04930,Up,8.45E-13, ALA1,Aminophospholipid ATPase 1 
AT3G23230,Up,8.89E-13, TDR1,Integrase-type DNA-binding superfamily protein 
AT1G13470,Up,9.14E-13, AT1G13470,
AT4G36540,Down,1.05E-12, BEE2,BR enhanced expression 2 
AT1G08940,Up,1.05E-12, AT1G08940,Phosphoglycerate mutase family protein 
AT1G66760,Up,1.08E-12, AT1G66760,MATE efflux family protein 
AT2G43010,Up,1.18E-12, PIF4,Phytochrome interacting factor 4 
AT1G59740,Up,1.19E-12, AT1G59740,Major facilitator superfamily protein 
